Date,Daily_Pressure_inHg,Month
2025-01-01,30.05,1
2025-01-02,30.08,1
2025-01-03,30.1,1
2025-01-04,30.05,1
2025-01-05,30.02,1
2025-01-06,30.0,1
2025-01-07,29.95,1
2025-01-08,30.0,1
2025-01-09,30.05,1
2025-01-10,30.08,1
2025-01-11,30.05,1
2025-01-12,30.0,1
2025-01-13,29.98,1
2025-01-14,30.0,1
2025-01-15,30.05,1
2025-01-16,30.02,1
2025-01-17,30.0,1
2025-01-18,29.98,1
2025-01-19,30.0,1
2025-01-20,30.05,1
2025-01-21,30.02,1
2025-01-22,29.98,1
2025-01-23,29.95,1
2025-01-24,29.9,1
2025-01-25,29.88,1
2025-01-26,29.92,1
2025-01-27,29.95,1
2025-01-28,30.0,1
2025-01-29,30.02,1
2025-01-30,29.98,1
2025-01-31,29.95,1
2025-02-01,29.95,2
2025-02-02,29.98,2
2025-02-03,30.0,2
2025-02-04,29.98,2
2025-02-05,29.95,2
2025-02-06,29.92,2
2025-02-07,29.9,2
2025-02-08,29.95,2
2025-02-09,29.98,2
2025-02-10,29.95,2
2025-02-11,29.92,2
2025-02-12,29.9,2
2025-02-13,29.88,2
2025-02-14,29.92,2
2025-02-15,29.95,2
2025-02-16,29.92,2
2025-02-17,29.9,2
2025-02-18,29.88,2
2025-02-19,29.85,2
2025-02-20,29.88,2
2025-02-21,29.92,2
2025-02-22,29.95,2
2025-02-23,30.0,2
2025-02-24,30.02,2
2025-02-25,30.0,2
2025-02-26,29.88,2
2025-02-27,29.82,2
2025-02-28,29.8,2
2025-03-01,29.85,3
2025-03-02,29.9,3
2025-03-03,29.95,3
2025-03-04,30.0,3
2025-03-05,30.02,3
2025-03-06,29.98,3
2025-03-07,29.92,3
2025-03-08,29.88,3
2025-03-09,29.85,3
2025-03-10,29.9,3
2025-03-11,29.95,3
2025-03-12,30.0,3
2025-03-13,30.05,3
2025-03-14,30.08,3
2025-03-15,30.05,3
2025-03-16,30.0,3
2025-03-17,29.92,3
2025-03-18,29.85,3
2025-03-19,29.8,3
2025-03-20,29.78,3
2025-03-21,29.75,3
2025-03-22,29.72,3
2025-03-23,29.8,3
2025-03-24,29.85,3
2025-03-25,29.95,3
2025-03-26,30.0,3
2025-03-27,29.9,3
2025-03-28,29.82,3
2025-03-29,29.78,3
2025-03-30,29.75,3
2025-03-31,29.8,3
2025-04-01,29.78,4
2025-04-02,29.75,4
2025-04-03,29.8,4
2025-04-04,29.85,4
2025-04-05,29.9,4
2025-04-06,29.88,4
2025-04-07,29.82,4
2025-04-08,29.78,4
2025-04-09,29.75,4
2025-04-10,29.72,4
2025-04-11,29.75,4
2025-04-12,29.78,4
2025-04-13,29.8,4
2025-04-14,29.75,4
2025-04-15,29.72,4
2025-04-16,29.68,4
2025-04-17,29.7,4
2025-04-18,29.75,4
2025-04-19,29.78,4
2025-04-20,29.8,4
2025-04-21,29.75,4
2025-04-22,29.72,4
2025-04-23,29.7,4
2025-04-24,29.72,4
2025-04-25,29.75,4
